amount,payment_status,payment_method,device_type,product_category,location,timestamp,cart_abandoned,refund_requested,retry_count,checkout_duration,discount_given,discount_requested,negotiation_started,negotiation_rounds,final_order_status,failure_reason,order_id,customer_id,merchant_id,event_id,refund_status
15233.0,SUCCESS,UPI,Android,Luxury & Watches,Hyderabad,2026-08-22 19:00:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000001,cust_0001,merchant_upload,evt_000001,NONE
6521.0,SUCCESS,Credit Card,Android,Luxury & Watches,Delhi,2026-08-22 19:02:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000002,cust_0002,merchant_upload,evt_000002,NONE
2168.0,SUCCESS,Net Banking,iOS,Beauty,Bangalore,2026-08-22 19:04:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000003,cust_0003,merchant_upload,evt_000003,NONE
8469.0,SUCCESS,EMI,iOS,Beauty,Pune,2026-08-22 19:06:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000004,cust_0004,merchant_upload,evt_000004,NONE
2702.0,SUCCESS,Net Banking,iOS,Fashion,Pune,2026-08-22 19:08:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000005,cust_0005,merchant_upload,evt_000005,NONE
6648.0,SUCCESS,Net Banking,Desktop,Beauty,Pune,2026-08-22 19:10:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000006,cust_0006,merchant_upload,evt_000006,NONE
2148.0,SUCCESS,Credit Card,Android,Luxury & Watches,Delhi,2026-08-22 19:12:30.850064,True,False,0,60,0.0,0.0,False,0,ABANDONED,,ord_000007,cust_0007,merchant_upload,evt_000007,NONE
8999.0,SUCCESS,Net Banking,Desktop,Home,Hyderabad,2026-08-22 19:14:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000008,cust_0008,merchant_upload,evt_000008,NONE
6611.0,FAILED,Net Banking,Android,Beauty,Bangalore,2026-08-22 19:16:30.850064,False,False,0,60,0.0,0.0,False,0,FAILED,,ord_000009,cust_0009,merchant_upload,evt_000009,NONE
6253.0,SUCCESS,Debit Card,Android,Beauty,Pune,2026-08-22 19:18:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000010,cust_0010,merchant_upload,evt_000010,NONE
2775.0,SUCCESS,Net Banking,Android,Home,Hyderabad,2026-08-22 19:20:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000011,cust_0011,merchant_upload,evt_000011,NONE
8053.0,SUCCESS,Debit Card,iOS,Beauty,Delhi,2026-08-22 19:22:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000012,cust_0012,merchant_upload,evt_000012,NONE
2376.0,SUCCESS,Net Banking,Desktop,Luxury & Watches,Delhi,2026-08-22 19:24:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000013,cust_0013,merchant_upload,evt_000013,NONE
11399.0,SUCCESS,Debit Card,Android,Fashion,Bangalore,2026-08-22 19:26:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000014,cust_0014,merchant_upload,evt_000014,NONE
9209.0,SUCCESS,Credit Card,iOS,Luxury & Watches,Mumbai,2026-08-22 19:28:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000015,cust_0015,merchant_upload,evt_000015,NONE
672.0,SUCCESS,Credit Card,Desktop,Beauty,Hyderabad,2026-08-22 19:30:30.850064,False,False,0,60,0.0,0.0,False,0,COMPLETED,,ord_000016,cust_0016,merchant_upload,evt_000016,NONE
